2026-03-07 15:38:18,171 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
2026-03-07 15:38:18,171 | INFO | path_correct
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
2026-03-07 15:38:18,171 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,171 | INFO | ticket 1 correct
2026-03-07 15:38:18,172 | INFO | path_correct
2026-03-07 15:38:18,172 | INFO | ticket 1 correct
2026-03-07 15:38:18,172 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:38:18,220 | INFO | user Один assert in bd
2026-03-07 15:38:18,221 | INFO | branch Асгард assert
2026-03-07 15:38:18,221 | INFO | branch Ванахейм assert
2026-03-07 15:38:18,221 | INFO | user Тор assert in bd
2026-03-07 15:38:18,221 | INFO | user Бальдр assert in bd
2026-03-07 15:38:18,221 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:18,221 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,222 | INFO | party_ticket correct
2026-03-07 15:38:18,276 | INFO | user Один assert in bd
2026-03-07 15:38:18,276 | INFO | branch Асгард assert
2026-03-07 15:38:18,276 | INFO | user Тор assert in bd
2026-03-07 15:38:18,276 | INFO | user Локи assert in bd
2026-03-07 15:38:18,277 | INFO | user Фрейя assert in bd
2026-03-07 15:38:18,277 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:38:18,277 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,277 | INFO | party_ticket correct
2026-03-07 15:38:18,278 | INFO | ticket 1 correct
2026-03-07 15:38:18,278 | INFO | path_correct
2026-03-07 15:38:18,278 | INFO | ticket 1 correct
2026-03-07 15:38:18,278 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:38:18,323 | INFO | user Один assert in bd
2026-03-07 15:38:18,324 | INFO | branch Асгард assert
2026-03-07 15:38:18,324 | INFO | user Тор assert in bd
2026-03-07 15:38:18,324 | INFO | user Локи assert in bd
2026-03-07 15:38:18,324 | INFO | user Фрейя assert in bd
2026-03-07 15:38:18,324 | INFO | Event CASH_COLLECTION_REQUEST correct
